Id,x,y,L,
1,5.1,3.5,0,
2,4.9,3,0,
3,4.7,3.2,0,
4,4.6,3.1,0,
5,5,3.6,0,
6,5.4,3.9,0,
7,4.6,3.4,0,
8,5,3.4,0,
9,4.4,2.9,0,
10,4.9,3.1,0,
11,5.4,3.7,0,
12,4.8,3.4,0,
13,4.8,3,0,
14,4.3,3,0,
15,5.8,4,0,
16,5.7,4.4,0,
17,5.4,3.9,0,
18,5.1,3.5,0,
19,5.7,3.8,0,
20,5.1,3.8,0,
21,5.4,3.4,0,
22,5.1,3.7,0,
23,4.6,3.6,0,
24,5.1,3.3,0,
25,4.8,3.4,0,
26,5,3,0,
27,5,3.4,0,
28,5.2,3.5,0,
29,5.2,3.4,0,
30,4.7,3.2,0,
31,4.8,3.1,0,
32,5.4,3.4,0,
33,5.2,4.1,0,
34,5.5,4.2,0,
35,4.9,3.1,0,
36,5,3.2,0,
37,5.5,3.5,0,
38,4.9,3.1,0,
39,4.4,3,0,
40,5.1,3.4,0,
41,5,3.5,0,
42,4.5,2.3,0,
43,4.4,3.2,0,
44,5,3.5,0,
45,5.1,3.8,0,
46,4.8,3,0,
47,5.1,3.8,0,
48,4.6,3.2,0,
49,5.3,3.7,0,
50,5,3.3,0,
51,7,3.2,1,
52,6.4,3.2,1,
53,6.9,3.1,1,
54,5.5,2.3,1,
55,6.5,2.8,1,
56,5.7,2.8,1,
57,6.3,3.3,1,
58,4.9,2.4,1,
59,6.6,2.9,1,
60,5.2,2.7,1,
61,5,2,1,
62,5.9,3,1,
63,6,2.2,1,
64,6.1,2.9,1,
65,5.6,2.9,1,
66,6.7,3.1,1,
67,5.6,3,1,
68,5.8,2.7,1,
69,6.2,2.2,1,
70,5.6,2.5,1,
71,5.9,3.2,1,
72,6.1,2.8,1,
73,6.3,2.5,1,
74,6.1,2.8,1,
75,6.4,2.9,1,
76,6.6,3,1,
77,6.8,2.8,1,
78,6.7,3,1,
79,6,2.9,1,
80,5.7,2.6,1,
81,5.5,2.4,1,
82,5.5,2.4,1,
83,5.8,2.7,1,
84,6,2.7,1,
85,5.4,3,1,
86,6,3.4,1,
87,6.7,3.1,1,
88,6.3,2.3,1,
89,5.6,3,1,
90,5.5,2.5,1,
91,5.5,2.6,1,
92,6.1,3,1,
93,5.8,2.6,1,
94,5,2.3,1,
95,5.6,2.7,1,
96,5.7,3,1,
97,5.7,2.9,1,
98,6.2,2.9,1,
99,5.1,2.5,1,
100,5.7,2.8,1,
